average_rating,num_pages,num_occ_title,num_occ_authors,num_occ_genre,publication_year,top_genre,Class
3.83,480.0,1.0,2.0,50.0,1999.0,0.0,1.0
4.0,184.0,2.0,2.0,587.0,1991.0,1.0,0.0
3.88,176.0,1.0,7.0,4027.0,2010.0,1.0,1.0
4.03,697.0,1.0,13.0,4027.0,1999.0,1.0,0.0
4.54,132.0,1.0,2.0,48.0,1990.0,0.0,0.0
3.65,248.0,1.0,10.0,4027.0,2003.0,1.0,1.0
4.04,783.0,1.0,5.0,4027.0,1992.0,1.0,0.0
3.86,119.0,1.0,1.0,850.0,2003.0,1.0,1.0
4.05,411.0,1.0,6.0,27.0,1993.0,0.0,0.0
3.93,240.0,1.0,3.0,228.0,2006.0,0.0,1.0
3.79,320.0,1.0,22.0,4027.0,2000.0,1.0,1.0
4.09,340.0,1.0,6.0,4027.0,2002.0,1.0,0.0
4.06,364.0,1.0,2.0,4027.0,1997.0,1.0,0.0
4.22,472.0,1.0,5.0,109.0,1987.0,0.0,0.0
4.27,209.0,1.0,12.0,312.0,2007.0,1.0,0.0
3.82,329.0,1.0,5.0,587.0,2002.0,1.0,1.0
4.19,408.0,1.0,7.0,4027.0,2004.0,1.0,0.0
4.27,411.0,1.0,46.0,27.0,2003.0,0.0,0.0
3.33,192.0,1.0,1.0,4027.0,2000.0,1.0,1.0
4.03,336.0,1.0,13.0,24.0,2000.0,0.0,0.0
4.13,640.0,1.0,1.0,366.0,1998.0,1.0,0.0
4.16,940.0,1.0,8.0,4027.0,2003.0,1.0,0.0
3.62,496.0,1.0,5.0,312.0,2004.0,1.0,1.0
4.28,32.0,1.0,29.0,850.0,1995.0,1.0,0.0
3.97,276.0,1.0,5.0,228.0,1976.0,0.0,1.0
3.93,230.0,1.0,3.0,587.0,1989.0,1.0,1.0
3.86,400.0,1.0,40.0,4027.0,1986.0,1.0,1.0
4.41,848.0,1.0,29.0,4027.0,2001.0,1.0,0.0
3.47,280.0,1.0,1.0,4027.0,2005.0,1.0,1.0
4.3,496.0,1.0,4.0,136.0,2006.0,0.0,0.0
4.08,240.0,1.0,2.0,587.0,2006.0,1.0,0.0
3.98,134.0,3.0,6.0,109.0,2002.0,0.0,1.0
4.58,199.0,1.0,7.0,77.0,2006.0,0.0,0.0
4.02,722.0,2.0,7.0,71.0,2002.0,0.0,0.0
3.89,432.0,1.0,10.0,4027.0,1992.0,1.0,1.0
4.07,208.0,1.0,2.0,226.0,2000.0,0.0,0.0
3.55,264.0,1.0,1.0,226.0,2002.0,0.0,1.0
3.97,410.0,1.0,5.0,366.0,2005.0,1.0,1.0
4.46,192.0,1.0,4.0,1.0,2003.0,0.0,0.0
3.96,438.0,1.0,33.0,4027.0,2007.0,1.0,1.0
4.13,352.0,1.0,2.0,30.0,2005.0,0.0,0.0
4.21,592.0,1.0,7.0,4027.0,2001.0,1.0,0.0
4.19,448.0,1.0,2.0,4027.0,2007.0,1.0,0.0
4.39,957.0,1.0,36.0,6.0,1999.0,0.0,0.0
4.04,147.0,1.0,24.0,4027.0,1991.0,1.0,0.0
4.05,144.0,1.0,13.0,850.0,2006.0,1.0,0.0
3.38,368.0,1.0,1.0,4027.0,2004.0,1.0,1.0
3.39,304.0,1.0,2.0,95.0,2006.0,0.0,1.0
